DV0,DV1,DV2,DV3,DV4,DV5,DV6,DV7,DV8,DV9,DV10,DV11,DV12,DV13,DV14,DV15,DV16,DV17,DV18,DV19,DV20,DV21,DV22,DV23,DV24,DV25,DV26,DV27,DV28,DV29,DV30,DV31,DV32,DV33,DV34,DV35,DV36,DV37,DV38,DV39,FF_VI,Mass,FF_CP,HV_CP,AI,tip_chord,af_tc1,af_tc2,af1_cm1,af1_cm2,af1_cm3,af1_cm4,af1_cm5,af1_cm6,af2_cm1,af2_cm2,af2_cm3,af2_cm4,af2_cm5,af2_cm6,Mode0,Mode1,Mode2,Mode3,Mode4,Mode5,xi_22(c),xi_40(c),xi_60(c),xi_80(c),xi_100(c)
0.211562771,0.894157591,0.345727722,0.302305198,0.474304064,0.567910603,0.668167097,0.149882954,0.479643801,0.471931192,0.397109534,0.058980106,0.339309967,0.065360263,0.204633491,0.273071846,0.997745612,0.804804281,0.742656022,0.05601773,0.135164052,0.821747347,0.285977754,0.58867603,0.486997859,0.147599955,0.639561902,0.578041442,0.003929049,0.458863176,0.476218228,0.109825476,0.557934802,0.818017723,0.200394853,0.963074367,0.235024879,0.192511901,0.722644383,0.43398385,0.047751914,3.7686,0.00043795,0.00036472,0.032774494,0.097155252,0.114936258,0.143336395,-0.049607046,-0.058009107,-0.058611933,-0.059009944,-0.064155618,-0.071763983,-0.064356113,-0.079826111,-0.079004238,-0.079118441,-0.085026818,-0.094361734,0.6622,1.108,2.8983,3.289,4.1573,5.1185,0.24422,0.2459,0.24542,0.2407,0.24108
0.817673721,0.822950092,0.609353315,0.036598135,0.337241448,0.270561932,0.184283432,0.714719683,0.276377805,0.025310518,0.29413622,0.463632757,0.020129918,0.764743493,0.119283594,0.667006396,0.527398679,0.961024142,0.391908767,0.73001343,0.59438162,0.414638273,0.139082785,0.23516387,0.378938092,0.976168987,0.418817037,0.520481032,0.400839582,0.367468654,0.191576306,0.014412376,0.789914097,0.572257079,0.737425412,0.64698208,0.101697852,0.242036161,0.61305542,0.897112896,0.046782795,3.4169,0.00047238,0.0003748,0.029099832,0.109123859,0.139226544,0.165819206,-0.049658841,-0.051755271,-0.051907534,-0.051740736,-0.052321482,-0.056336706,-0.062086516,-0.065309864,-0.063956907,-0.060343449,-0.057153836,-0.056854072,0.6739,1.1105,2.8313,3.165,4.5696,5.1304,0.25154,0.25288,0.25304,0.24584,0.24562
0.662175343,0.97722491,0.155286975,0.899244476,0.17268384,0.164754335,0.329102393,0.412895409,0.377042474,0.719170435,0.679981061,0.486084762,0.931533697,0.776633676,0.673792946,0.107388547,0.652607528,0.830674594,0.512738726,0.279617301,0.161138333,0.318226292,0.534864232,0.856381713,0.807769745,0.731915112,0.179834572,0.906560986,0.169084053,0.424796882,0.095989738,0.604368212,0.317817048,0.462594008,0.164958891,0.754903944,0.312154549,0.822175336,0.25358056,0.688829368,0.046733177,3.4058,0.00030413,0.00034572,0.026689902,0.109334662,0.122997824,0.102102899,-0.156524799,-0.180028319,-0.182721678,-0.188204507,-0.203917861,-0.220206855,-0.061262811,-0.060857343,-0.062228923,-0.065166333,-0.069508079,-0.073901706,0.7016,1.1188,2.7386,3.4724,4.2092,4.865,0.2454,0.24526,0.24836,0.24662,0.24736
0.84448449,0.203199565,0.251242231,0.394462474,0.828646103,0.92445602,0.458122758,0.867945552,0.293401253,0.305013237,0.427094946,0.190976579,0.014816383,0.730886542,0.414802311,0.893982804,0.17179474,0.545804464,0.820335244,0.687086213,0.946065537,0.249100058,0.875777271,0.295265298,0.203815359,0.80683159,0.848800157,0.594983005,0.903460193,0.645090744,0.702750397,0.258045094,0.342370458,0.507409734,0.04766687,0.508201039,0.806219873,0.994086806,0.575451611,0.553018725,0.046100943,3.5431,0.00032757,0.00039348,0.029796431,0.101767459,0.14975767,0.125670007,-0.030826648,-0.01968455,-0.019185484,-0.018816695,-0.017545366,-0.017171267,-0.077376932,-0.083123743,-0.084816857,-0.086886033,-0.089614526,-0.096404469,0.6993,1.1106,2.8551,3.118,4.7897,5.2102,0.2597,0.25428,0.25458,0.24508,0.24614
0.874967868,0.96884469,0.856208471,0.60812091,0.304242075,0.984909619,0.785023469,0.60425701,0.464794839,0.25051169,0.413719774,0.455041398,0.076468487,0.410989756,0.1967428,0.426175872,0.690259634,0.875908772,0.610696414,0.489811703,0.516198193,0.209889596,0.773588047,0.119380549,0.195256757,0.684108401,0.599150937,0.475787014,0.833882416,0.588674344,0.068732912,0.329097041,0.601435045,0.954594358,0.538126917,0.657852381,0.105493452,0.149611564,0.654394359,0.260299614,0.044980802,3.3409,0.00038009,0.00037098,0.028206757,0.093892627,0.129919011,0.14947673,-0.084706536,-0.087861026,-0.088964574,-0.089865929,-0.102560079,-0.112340641,-0.068539395,-0.076650097,-0.077227786,-0.07616202,-0.076746446,-0.083080731,0.6969,1.1138,2.8795,3.2449,4.6002,5.1815,0.25744,0.25324,0.2533,0.24472,0.24494
0.828090417,0.729674765,0.730840341,0.893265463,0.365583874,0.298397485,0.082334998,0.752798998,0.461101883,0.782861231,0.645746951,0.912525853,0.934128883,0.456382029,0.647629223,0.078874233,0.380106506,0.813971173,0.802107712,0.683413242,0.019673855,0.996504095,0.528726259,0.54709672,0.093850859,0.944738914,0.548329668,0.887216084,0.785422547,0.442291609,0.369918612,0.57576735,0.454683028,0.644266941,0.294139723,0.898538621,0.07597786,0.690936767,0.113364149,0.191080627,0.044773527,3.6554,0.00029305,0.00033722,0.028105083,0.09909436,0.119629854,0.106357171,-0.142553056,-0.156658889,-0.159960884,-0.165778917,-0.178403448,-0.192963905,-0.060925345,-0.060870427,-0.061735342,-0.063454881,-0.06851132,-0.073896027,0.7462,1.1192,2.777,3.702,4.5332,4.8501,0.24768,0.25322,0.25326,0.24514,0.2463
0.358521239,0.9918534,0.771510341,0.529712796,0.553607419,0.194331834,0.117240997,0.073088413,0.092641786,0.265010767,0.587761408,0.141036937,0.77049743,0.944017094,0.703729773,0.785231597,0.844119726,0.778198818,0.628376574,0.014395479,0.908897663,0.904800337,0.529635558,0.479433491,0.956941486,0.242533024,0.009330214,0.691326977,0.485596422,0.28199591,0.610039381,0.305684977,0.317339929,0.338439228,0.5105327,0.702395271,0.127322647,0.243296499,0.108620159,0.15992077,0.044594175,3.6228,0.0003083,0.00036483,0.026304506,0.09836602,0.170979773,0.100985382,-0.062946547,-0.074499546,-0.073297143,-0.072029052,-0.074944862,-0.081187359,-0.042483445,-0.037388138,-0.03905234,-0.041992444,-0.044435167,-0.046239854,0.7505,1.1234,2.6965,3.3542,4.5412,4.7596,0.24548,0.24474,0.24776,0.24642,0.24812
0.629172095,0.88298316,0.929625651,0.586435548,0.398784104,0.141109643,0.082229034,0.604935293,0.150677789,0.057446725,0.213371569,0.216791047,0.390714452,0.616920509,0.061938984,0.800389348,0.320546282,0.877820494,0.801472981,0.610516102,0.357954719,0.290600125,0.407103813,0.39938267,0.10110441,0.09641327,0.437641203,0.60532945,0.401634894,0.73633118,0.25739426,0.121973277,0.409302537,0.23573111,0.606123108,0.410112533,0.045716722,0.048048041,0.050730266,0.960121326,0.044194549,3.63,0.00082245,0.00046456,0.027466878,0.118777704,0.161068126,0.18195842,-0.115593645,-0.126680182,-0.127691719,-0.129420632,-0.133974852,-0.13921657,-0.074078276,-0.083437701,-0.080420539,-0.077163336,-0.073372308,-0.07073102,0.7389,1.1193,2.6261,3.1223,4.1831,4.8403,0.2516,0.24234,0.24198,0.2488,0.24878
0.332935473,0.659674797,0.367954211,0.879049691,0.222710164,0.355044174,0.510822553,0.61789372,0.057965414,0.750136179,0.633574638,0.665441604,0.44318382,0.189255021,0.819725006,0.271721233,0.81981669,0.988233661,0.443869428,0.532129417,0.719048658,0.846537906,0.931156473,0.031600332,0.755377678,0.789784898,0.893945837,0.191367359,0.727853985,0.543009579,0.167098267,0.918902628,0.270754915,0.469390316,0.009289463,0.780602263,0.562947572,0.389595979,0.519679804,0.417344568,0.044013253,3.3029,0.00031438,0.00034963,0.025861403,0.099293341,0.190074262,0.082961873,-0.142191528,-0.157429786,-0.157959452,-0.158767361,-0.159639989,-0.158494015,-0.066613306,-0.072149838,-0.073926893,-0.075557434,-0.083713056,-0.091967192,0.7346,1.1206,2.8073,3.1878,4.8868,5.1463,0.25588,0.25602,0.2571,0.2477,0.24894
0.848193167,0.861546931,0.403372752,0.214683166,0.170043347,0.653663868,0.614267707,0.492998195,0.022113807,0.805348609,0.785718389,0.639434455,0.958607963,0.931434897,0.107193549,0.147276616,0.641770426,0.90537149,0.312400563,0.902823065,0.916631418,0.965028586,0.949036026,0.666584059,0.374788758,0.762863904,0.879700784,0.540805949,0.746562956,0.023188325,0.692560456,0.053993563,0.989663952,0.786307185,0.069894053,0.583527735,0.136382797,0.565069903,0.244037889,0.447344418,0.043790215,3.7419,0.00038066,0.00039699,0.033717719,0.103672534,0.20914994,0.188699554,-0.079868673,-0.088587738,-0.085856372,-0.081560066,-0.074694091,-0.075819518,-0.085577222,-0.081129112,-0.082625121,-0.086315453,-0.089311782,-0.089229467,0.6484,1.1033,2.8465,3.1433,4.8878,5.16,0.2528,0.25914,0.25936,0.2424,0.24214
