R_mr,c_mr,theta0_mr,tw_mr,R_prop,c_prop,tw_prop,RPM_prop,span_wing,theta0_wing,AR_wing,l_rod,GW,Max_dBA
2.387,0.664,23.16030204,-12.48,3.593,0.364,-15.08,2470.914141,42.82202209,12.07655944,11.15720257,9.191971513,3119.336,65.311778
2.392,0.711,13.62021497,-3.09,3.685,0.367,-12.16,2493.954882,42.45789192,13.87169454,11.85474922,7.188011227,2655.767,73.361097
2.367,0.742,14.40232455,-10.04,4.2,0.429,-13.08,2389.906775,39.04676094,12.73027895,13.92260443,7.578643992,2640.679,89.457849
1.938,0.621,17.1098946,-11.07,3.487,0.393,-14.67,2493.309666,33.35029413,13.92138417,13.86601673,7.870507204,2384.371,89.908585
2.262,0.574,15.61149382,-0.8,3.626,0.377,-17.18,2261.068424,42.69411868,11.2443916,13.02705737,6.448271044,3112.676,71.068604
1.911,0.557,17.62803957,-9.22,3.975,0.324,-15.99,2369.244838,41.18590358,10.359537,10.3660611,8.070603552,2515.917,80.089937
2.327,0.533,22.10009996,-1.32,3.735,0.417,-16.44,2377.955861,40.60923518,14.63455366,11.00996698,7.875333636,3308.346,63.22839
1.898,0.522,20.49749934,-5.12,3.673,0.34,-12.52,2534.670737,35.26877654,14.09426781,12.76299559,6.895600421,2829.826,74.657639
2.302,0.745,16.51964442,-0.67,3.89,0.378,-13.74,2293.155879,36.54727114,14.56992486,13.51594376,8.699727493,3152.846,67.413033
1.999,0.554,18.2678355,-2.82,4.091,0.372,-14.24,2342.487833,34.1382338,13.86972366,14.35606993,9.22516284,2939.193,73.954356
2.225,0.678,18.94816433,-12.3,3.533,0.372,-12.41,2278.459759,41.81163497,11.01571481,14.53412672,8.995796995,3021.009,82.732284
2.219,0.751,17.04826374,-1.75,3.483,0.426,-15.01,2638.219262,37.91328614,13.91696432,10.10220195,7.724349584,3157.677,71.517042
1.998,0.611,16.45730153,-5.25,4.094,0.302,-14.65,2325.021182,38.33019715,11.74777782,12.77083159,8.601850827,2569.35,80.524686
2.089,0.576,17.55480935,-8.91,3.703,0.367,-12.04,2226.64071,35.51214726,11.64045184,12.81305625,7.13752251,2723.734,82.895749
2.169,0.624,16.01822656,-6.45,3.191,0.335,-17.56,2559.970011,42.21386494,14.0368294,13.80936044,9.545287135,3042.278,81.726077
2.272,0.662,18.3514288,-2,3.489,0.371,-13.91,2504.248613,35.71195937,13.60365711,13.41634691,6.575379594,3131.905,66.207358
1.897,0.552,19.31926086,-7.34,3.613,0.336,-12.06,2454.827428,35.95058778,12.03215094,14.69087643,6.674527301,2653.037,80.398348
1.909,0.663,17.765788,-13.05,3.95,0.339,-14.37,2231.196233,33.19183939,13.35532606,12.46118035,8.311519613,2421.696,97.198614
2.024,0.744,23.66061847,-11.28,3.722,0.35,-12.49,2100.342119,41.92910999,10.31504759,14.19494603,7.207841352,3310.543,78.04143
2.052,0.735,23.77539185,-11.11,3.779,0.322,-14.65,2227.206848,37.16301953,14.0776744,13.9008628,6.91304002,3470.593,77.265667
2.061,0.732,21.46142944,-13.94,4.049,0.429,-17.04,2134.283038,36.04895737,10.13205521,14.16706715,6.512566882,2445.767,76.568803
2.245,0.538,21.8885463,-4.33,3.748,0.375,-14.48,2329.920201,37.40084203,13.11740246,13.57940647,9.335022517,3366.451,66.260593
1.868,0.57,17.22074703,-9.06,3.348,0.414,-15.51,2538.550301,36.34816496,11.29388163,14.0013835,7.563386066,2656.285,88.695221
2.111,0.506,22.12061837,-9.66,4.123,0.339,-16.3,2254.699404,39.31622934,14.17761728,12.6184766,7.980261631,2616.055,67.502565
2.044,0.69,14.11159321,-6.74,3.813,0.331,-17.82,2028.143133,37.92557321,10.336375,11.54413533,7.172005341,2843.701,92.606689
2.289,0.728,14.61675171,-7.22,4.057,0.311,-12.38,2320.132186,33.77930788,11.47805761,11.85605622,9.094058401,2488.719,80.755003
1.916,0.575,19.8749676,-11.3,3.345,0.33,-13.34,2271.025828,41.08592163,11.48546125,14.82850905,8.048066966,3198.99,80.124369
2.158,0.633,16.48185577,-3.79,4.05,0.392,-16.98,2599.620711,36.47051486,14.64159389,10.2688867,6.786147659,3150.957,78.234001
2.075,0.754,15.13409539,-5.91,3.872,0.38,-14.27,2526.767743,34.92843696,14.00307954,11.01780274,7.200628236,2627.164,85.547565
1.888,0.721,21.22791616,-12.09,3.867,0.43,-13.54,2299.117556,38.48039893,13.81437836,12.24340213,6.517020211,2801.143,85.267275
2.025,0.685,23.37635185,-13.28,3.911,0.327,-16.87,2438.631989,36.04632092,10.43492219,13.41906248,9.115739587,2661.528,73.749266
2.248,0.681,19.99738493,-8.09,3.969,0.328,-16,2021.533544,40.75854825,11.76618911,14.86122131,8.997858903,3300.765,73.918535
1.979,0.605,22.44144446,-14.14,3.723,0.342,-16.93,2438.080056,38.58529596,14.60327237,12.75690536,8.372162963,2576.756,78.739579
1.963,0.733,14.2562863,-6.27,4.014,0.357,-17.5,2084.647661,39.41239281,12.57920277,10.74130877,7.695726383,2979.296,90.823919
2.254,0.627,17.77310816,0,3.979,0.428,-15.21,2395.180199,42.76846988,12.11919338,11.03991629,7.225999543,3029.429,64.160413
2.361,0.713,18.96482745,-8.3,3.905,0.404,-13.54,2193.63803,33.34093234,10.29161096,12.54450782,9.140211013,2932.65,69.740192
2.073,0.557,15.63539246,-1.35,3.743,0.337,-12.9,2265.109873,36.79030523,11.23344896,12.30683077,7.881006384,2943.066,78.051538
2.006,0.682,23.81392165,-12.97,4.006,0.406,-17.15,2305.163389,38.04602358,12.12635018,11.49719185,6.966111237,2787.444,73.886245
2.06,0.551,22.87485353,-9.85,4.065,0.316,-12.74,2040.223731,35.67364631,10.78647252,13.73907263,7.994328482,3208.823,75.03217
2.224,0.633,16.06477809,-7.49,3.954,0.363,-17.15,2253.486264,33.57562011,13.12982371,12.25618281,8.334393627,2507.083,77.503014
